season,date,teams,result
2013-2014,10.11.2013,Genoa-Verona,2-0
2013-2014,09.11.2013,Inter-Livorno,2-0
2013-2014,10.11.2013,Juventus-Napoli,3-0
2013-2014,10.11.2013,Parma-Lazio,1-1
2013-2014,10.11.2013,Roma-Sassuolo,1-1
2013-2014,24.11.2013,Bologna-Inter,1-1
2013-2014,24.11.2013,Livorno-Juventus,0-2
2013-2014,23.11.2013,Milan-Genoa,1-1
2013-2014,23.11.2013,Napoli-Parma,0-1
2013-2014,25.11.2013,Roma-Cagliari,0-0
2013-2014,24.11.2013,Sampdoria-Lazio,1-1
2013-2014,24.11.2013,Sassuolo-Atalanta,2-0
2013-2014,24.11.2013,Torino-Catania,4-1
2013-2014,24.11.2013,Udinese-Fiorentina,1-0
2013-2014,23.11.2013,Verona-Chievo,0-1
2013-2014,01.12.2013,Atalanta-Roma,1-1
2013-2014,01.12.2013,Cagliari-Sassuolo,2-2
2013-2014,01.12.2013,Catania-Milan,1-3
2013-2014,01.12.2013,Chievo-Livorno,3-0
2013-2014,02.12.2013,Fiorentina-Verona,4-3
2013-2014,30.11.2013,Genoa-Torino,1-1
2013-2014,01.12.2013,Inter-Sampdoria,1-1
2013-2014,01.12.2013,Juventus-Udinese,1-0
2013-2014,02.12.2013,Lazio-Napoli,2-4
2013-2014,30.11.2013,Parma-Bologna,1-1
2013-2014,06.12.2013,Bologna-Juventus,0-2
2013-2014,08.12.2013,Cagliari-Genoa,2-1
2013-2014,08.12.2013,Inter-Parma,3-3
2013-2014,07.12.2013,Livorno-Milan,2-2
2013-2014,07.12.2013,Napoli-Udinese,3-3
2013-2014,08.12.2013,Roma-Fiorentina,2-1
2013-2014,08.12.2013,Sampdoria-Catania,2-0
2013-2014,08.12.2013,Sassuolo-Chievo,0-1
2013-2014,08.12.2013,Torino-Lazio,1-0
2013-2014,08.12.2013,Verona-Atalanta,2-1
2013-2014,14.12.2013,Catania-Verona,0-0
2013-2014,15.12.2013,Chievo-Sampdoria,0-1
2013-2014,15.12.2013,Fiorentina-Bologna,3-0
2013-2014,15.12.2013,Genoa-Atalanta,1-1
2013-2014,15.12.2013,Juventus-Sassuolo,4-0
2013-2014,15.12.2013,Lazio-Livorno,2-0
2013-2014,16.12.2013,Milan-Roma,2-2
2013-2014,15.12.2013,Napoli-Inter,4-2
2013-2014,15.12.2013,Parma-Cagliari,0-0
2013-2014,15.12.2013,Udinese-Torino,0-2
2013-2014,22.12.2013,Atalanta-Juventus,1-4
2013-2014,22.12.2013,Bologna-Genoa,1-0
2013-2014,21.12.2013,Cagliari-Napoli,1-1
2013-2014,22.12.2013,Inter-Milan,1-0
2013-2014,21.12.2013,Livorno-Udinese,1-2
2013-2014,22.12.2013,Roma-Catania,4-0
2013-2014,22.12.2013,Sampdoria-Parma,1-1
2013-2014,22.12.2013,Sassuolo-Fiorentina,0-1
2013-2014,22.12.2013,Torino-Chievo,4-1
2013-2014,22.12.2013,Verona-Lazio,4-1
2013-2014,06.01.2014,Catania-Bologna,2-0
2013-2014,05.01.2014,Chievo-Cagliari,0-0
2013-2014,05.01.2014,Fiorentina-Livorno,1-0
2013-2014,06.01.2014,Genoa-Sassuolo,2-0
2013-2014,05.01.2014,Juventus-Roma,3-0
2013-2014,06.01.2014,Lazio-Inter,1-0
2013-2014,06.01.2014,Milan-Atalanta,3-0
2013-2014,06.01.2014,Napoli-Sampdoria,2-0
2013-2014,06.01.2014,Parma-Torino,3-1
2013-2014,06.01.2014,Udinese-Verona,1-3
2013-2014,12.01.2014,Atalanta-Catania,2-1
2013-2014,11.01.2014,Bologna-Lazio,0-0
2013-2014,12.01.2014,Cagliari-Juventus,1-4
2013-2014,13.01.2014,Inter-Chievo,1-1
2013-2014,11.01.2014,Livorno-Parma,0-3
2013-2014,12.01.2014,Roma-Genoa,4-0
2013-2014,13.01.2014,Sampdoria-Udinese,3-0
2013-2014,12.01.2014,Sassuolo-Milan,4-3
2013-2014,12.01.2014,Torino-Fiorentina,0-0
2013-2014,12.01.2014,Verona-Napoli,0-3
2013-2014,19.01.2014,Atalanta-Cagliari,1-0
2013-2014,19.01.2014,Bologna-Napoli,2-2
2013-2014,19.01.2014,Catania-Fiorentina,0-3
2013-2014,19.01.2014,Chievo-Parma,1-2
2013-2014,19.01.2014,Genoa-Inter,1-0
2013-2014,18.01.2014,Juventus-Sampdoria,4-2
2013-2014,19.01.2014,Milan-Verona,1-0
2013-2014,18.01.2014,Roma-Livorno,3-0
2013-2014,19.01.2014,Sassuolo-Torino,0-2
2013-2014,19.01.2014,Udinese-Lazio,2-3
2013-2014,26.01.2014,Cagliari-Milan,1-2
2013-2014,26.01.2014,Fiorentina-Genoa,3-3
2013-2014,26.01.2014,Inter-Catania,0-0
2013-2014,25.01.2014,Lazio-Juventus,1-1
2013-2014,26.01.2014,Livorno-Sassuolo,3-1
2013-2014,25.01.2014,Napoli-Chievo,1-1
2013-2014,26.01.2014,Parma-Udinese,1-0
2013-2014,26.01.2014,Sampdoria-Bologna,1-1
2013-2014,26.01.2014,Torino-Atalanta,1-0
2013-2014,26.01.2014,Verona-Roma,1-3
2013-2014,02.02.2014,Atalanta-Napoli,3-0
2013-2014,01.02.2014,Bologna-Udinese,0-2
2013-2014,01.02.2014,Cagliari-Fiorentina,1-0
2013-2014,02.02.2014,Catania-Livorno,3-3
2013-2014,02.02.2014,Chievo-Lazio,0-2
2013-2014,03.02.2014,Genoa-Sampdoria,0-1
2013-2014,02.02.2014,Juventus-Inter,3-1
2013-2014,01.02.2014,Milan-Torino,1-1
2013-2014,02.04.2014,Roma-Parma,4-2
2013-2014,02.02.2014,Sassuolo-Verona,1-2
2013-2014,08.02.2014,Fiorentina-Atalanta,2-0
2013-2014,09.02.2014,Inter-Sassuolo,1-0
2013-2014,09.02.2014,Lazio-Roma,0-0
2013-2014,09.02.2014,Livorno-Genoa,0-1
2013-2014,08.02.2014,Napoli-Milan,3-1
2013-2014,09.02.2014,Parma-Catania,0-0
2013-2014,09.02.2014,Sampdoria-Cagliari,1-0
2013-2014,09.02.2014,Torino-Bologna,1-2
2013-2014,08.02.2014,Udinese-Chievo,3-0
2013-2014,09.02.2014,Verona-Juventus,2-2
2013-2014,16.02.2014,Atalanta-Parma,0-4
2013-2014,16.02.2014,Cagliari-Livorno,1-2
2013-2014,16.02.2014,Catania-Lazio,3-1
2013-2014,15.02.2014,Fiorentina-Inter,1-2
2013-2014,16.02.2014,Genoa-Udinese,3-3
2013-2014,16.02.2014,Juventus-Chievo,3-1
2013-2014,14.02.2014,Milan-Bologna,1-0
2013-2014,16.02.2014,Roma-Sampdoria,3-0
2013-2014,16.02.2014,Sassuolo-Napoli,0-2
2013-2014,17.02.2014,Verona-Torino,1-3
2013-2014,22.02.2014,Bologna-Roma,0-1
2013-2014,23.02.2014,Chievo-Catania,2-0
2013-2014,23.02.2014,Inter-Cagliari,1-1
2013-2014,23.02.2014,Juventus-Torino,1-0
2013-2014,23.02.2014,Lazio-Sassuolo,3-2
2013-2014,23.02.2014,Livorno-Verona,2-3
2013-2014,24.02.2014,Napoli-Genoa,1-1
2013-2014,24.02.2014,Parma-Fiorentina,2-2
2013-2014,23.02.2014,Sampdoria-Milan,0-2
2013-2014,23.02.2014,Udinese-Atalanta,1-1
2013-2014,02.03.2014,Atalanta-Chievo,2-1
2013-2014,02.03.2014,Cagliari-Udinese,3-0
2013-2014,02.03.2014,Fiorentina-Lazio,0-1
2013-2014,02.03.2014,Genoa-Catania,2-0
2013-2014,02.03.2014,Livorno-Napoli,1-1
2013-2014,02.03.2014,Milan-Juventus,0-2
2013-2014,01.03.2014,Roma-Inter,0-0
2013-2014,02.03.2014,Sassuolo-Parma,0-1
2013-2014,02.03.2014,Torino-Sampdoria,0-2
2013-2014,02.03.2014,Verona-Bologna,0-0
2013-2014,09.03.2014,Bologna-Sassuolo,0-0
2013-2014,08.03.2014,Catania-Cagliari,1-1
2013-2014,09.03.2014,Chievo-Genoa,2-1
2013-2014,09.03.2014,Inter-Torino,1-0
2013-2014,09.03.2014,Juventus-Fiorentina,1-0
2013-2014,09.03.2014,Lazio-Atalanta,0-1
2013-2014,09.03.2014,Napoli-Roma,1-0
2013-2014,09.03.2014,Parma-Verona,2-0
2013-2014,09.03.2014,Sampdoria-Livorno,4-2
2013-2014,08.03.2014,Udinese-Milan,1-0
2013-2014,16.03.2014,Atalanta-Sampdoria,3-0
2013-2014,16.03.2014,Cagliari-Lazio,0-2
2013-2014,16.03.2014,Fiorentina-Chievo,3-1
2013-2014,16.03.2014,Genoa-Juventus,0-1
2013-2014,16.03.2014,Livorno-Bologna,2-1
2013-2014,16.03.2014,Milan-Parma,2-4
2013-2014,17.03.2014,Roma-Udinese,3-2
2013-2014,16.03.2014,Sassuolo-Catania,3-1
2013-2014,17.03.2014,Torino-Napoli,0-1
2013-2014,15.03.2014,Verona-Inter,0-2
2013-2014,23.03.2014,Bologna-Cagliari,1-0
2013-2014,23.03.2014,Catania-Juventus,0-1
2013-2014,22.03.2014,Chievo-Roma,0-2
2013-2014,23.03.2014,Inter-Atalanta,1-2
2013-2014,23.03.2014,Lazio-Milan,1-1
2013-2014,23.03.2014,Napoli-Fiorentina,0-1
2013-2014,23.03.2014,Parma-Genoa,1-1
2013-2014,23.03.2014,Sampdoria-Verona,5-0
2013-2014,22.03.2014,Torino-Livorno,3-1
2013-2014,23.03.2014,Udinese-Sassuolo,1-0
2013-2014,26.03.2014,Atalanta-Livorno,2-0
2013-2014,26.03.2014,Cagliari-Verona,1-0
2013-2014,26.03.2014,Catania-Napoli,2-4
2013-2014,26.03.2014,Chievo-Bologna,3-0
2013-2014,26.03.2014,Fiorentina-Milan,0-2
2013-2014,26.03.2014,Genoa-Lazio,2-0
2013-2014,27.03.2014,Inter-Udinese,0-0
2013-2014,26.03.2014,Juventus-Parma,2-1
2013-2014,25.03.2014,Roma-Torino,2-1
2013-2014,26.03.2014,Sassuolo-Sampdoria,1-2
2013-2014,29.03.2014,Bologna-Atalanta,0-2
2013-2014,30.03.2014,Lazio-Parma,3-2
2013-2014,31.03.2014,Livorno-Inter,2-2
2013-2014,29.03.2014,Milan-Chievo,3-0
2013-2014,30.03.2014,Napoli-Juventus,2-0
2013-2014,30.03.2014,Sampdoria-Fiorentina,0-0
2013-2014,30.03.2014,Sassuolo-Roma,0-2
2013-2014,30.03.2014,Torino-Cagliari,2-1
2013-2014,31.03.2014,Udinese-Catania,1-0
2013-2014,30.03.2014,Verona-Genoa,3-0
2013-2014,06.04.2014,Atalanta-Sassuolo,0-2
2013-2014,06.04.2014,Cagliari-Roma,1-3
2013-2014,06.04.2014,Catania-Torino,1-2
2013-2014,05.04.2014,Chievo-Verona,0-1
2013-2014,06.04.2014,Fiorentina-Udinese,2-1
2013-2014,07.04.2014,Genoa-Milan,1-2
2013-2014,05.04.2014,Inter-Bologna,2-2
2013-2014,07.04.2014,Juventus-Livorno,2-0
2013-2014,06.04.2014,Lazio-Sampdoria,2-0
2013-2014,06.04.2014,Parma-Napoli,1-0
2013-2014,13.04.2014,Bologna-Parma,1-1
2013-2014,13.04.2014,Livorno-Chievo,2-4
2013-2014,13.04.2014,Milan-Catania,1-0
2013-2014,13.04.2014,Napoli-Lazio,4-2
2013-2014,12.04.2014,Roma-Atalanta,3-1
2013-2014,13.04.2014,Sampdoria-Inter,0-4
2013-2014,12.04.2014,Sassuolo-Cagliari,1-1
2013-2014,13.04.2014,Torino-Genoa,2-1
2013-2014,14.04.2014,Udinese-Juventus,0-2
2013-2014,13.04.2014,Verona-Fiorentina,3-5
2013-2014,19.04.2014,Atalanta-Verona,1-2
2013-2014,19.04.2014,Catania-Sampdoria,2-1
2013-2014,19.04.2014,Chievo-Sassuolo,0-1
2013-2014,19.04.2014,Fiorentina-Roma,0-1
2013-2014,19.04.2014,Genoa-Cagliari,1-2
2013-2014,19.04.2014,Juventus-Bologna,1-0
2013-2014,19.04.2014,Lazio-Torino,3-3
2013-2014,19.04.2014,Milan-Livorno,3-0
2013-2014,19.04.2014,Parma-Inter,0-2
2013-2014,19.04.2014,Udinese-Napoli,1-1
2013-2014,27.04.2014,Atalanta-Genoa,1-1
2013-2014,26.04.2014,Bologna-Fiorentina,0-3
2013-2014,27.04.2014,Cagliari-Parma,1-0
2013-2014,26.04.2014,Inter-Napoli,0-0
2013-2014,27.04.2014,Livorno-Lazio,0-2
2013-2014,25.04.2014,Roma-Milan,2-0
2013-2014,27.04.2014,Sampdoria-Chievo,2-1
2013-2014,28.04.2014,Sassuolo-Juventus,1-3
2013-2014,27.04.2014,Torino-Udinese,2-0
2013-2014,27.04.2014,Verona-Catania,4-0
2013-2014,04.05.2014,Catania-Roma,4-1
2013-2014,04.05.2014,Chievo-Torino,0-1
2013-2014,06.05.2014,Fiorentina-Sassuolo,3-4
2013-2014,04.05.2014,Genoa-Bologna,0-0
2013-2014,05.05.2014,Juventus-Atalanta,1-0
2013-2014,05.05.2014,Lazio-Verona,3-3
2013-2014,04.05.2014,Milan-Inter,1-0
2013-2014,06.05.2014,Napoli-Cagliari,3-0
2013-2014,04.05.2014,Parma-Sampdoria,2-0
2013-2014,04.05.2014,Udinese-Livorno,5-3
2013-2014,11.05.2014,Atalanta-Milan,2-1
2013-2014,11.05.2014,Bologna-Catania,1-2
2013-2014,11.05.2014,Cagliari-Chievo,0-1
2013-2014,10.05.2014,Inter-Lazio,4-1
2013-2014,11.05.2014,Livorno-Fiorentina,0-1
2013-2014,11.05.2014,Roma-Juventus,0-1
2013-2014,11.05.2014,Sampdoria-Napoli,2-5
2013-2014,11.05.2014,Sassuolo-Genoa,4-2
2013-2014,11.05.2014,Torino-Parma,1-1
2013-2014,10.05.2014,Verona-Udinese,2-2
2013-2014,18.05.2014,Catania-Atalanta,2-1
2013-2014,18.05.2014,Chievo-Inter,2-1
2013-2014,18.05.2014,Fiorentina-Torino,2-2
2013-2014,18.05.2014,Genoa-Roma,1-0
2013-2014,18.05.2014,Juventus-Cagliari,3-0
2013-2014,18.05.2014,Lazio-Bologna,1-0
2013-2014,18.05.2014,Milan-Sassuolo,2-1
2013-2014,18.05.2014,Napoli-Verona,5-1
2013-2014,18.05.2014,Parma-Livorno,2-0
2013-2014,17.05.2014,Udinese-Sampdoria,3-3
2014-2015,31.08.2014,Atalanta-Verona,0-0
2014-2015,31.08.2014,Cesena-Parma,1-0
2014-2015,30.08.2014,Chievo-Juventus,0-1
2014-2015,31.08.2014,Genoa-Napoli,1-2
2014-2015,31.08.2014,Milan-Lazio,3-1
2014-2015,31.08.2014,Palermo-Sampdoria,1-1
2014-2015,30.08.2014,Roma-Fiorentina,2-0
2014-2015,31.08.2014,Sassuolo-Cagliari,1-1
2014-2015,31.08.2014,Torino-Inter,0-0
2014-2015,31.08.2014,Udinese-Empoli,2-0
2014-2015,14.09.2014,Cagliari-Atalanta,1-2
2014-2015,13.09.2014,Empoli-Roma,0-1
2014-2015,14.09.2014,Fiorentina-Genoa,0-0
2014-2015,14.09.2014,Inter-Sassuolo,7-0
2014-2015,13.09.2014,Juventus-Udinese,2-0
2014-2015,14.09.2014,Lazio-Cesena,3-0
2014-2015,14.09.2014,Napoli-Chievo,0-1
2014-2015,14.09.2014,Parma-Milan,4-5
2014-2015,14.09.2014,Sampdoria-Torino,2-0
2014-2015,15.09.2014,Verona-Palermo,2-1
2014-2015,21.09.2014,Atalanta-Fiorentina,0-1
2014-2015,20.09.2014,Cesena-Empoli,2-2
2014-2015,21.09.2014,Chievo-Parma,2-3
2014-2015,21.09.2014,Genoa-Lazio,1-0
2014-2015,20.09.2014,Milan-Juventus,0-1
2014-2015,21.09.2014,Palermo-Inter,1-1
2014-2015,21.09.2014,Roma-Cagliari,2-0
2014-2015,21.09.2014,Sassuolo-Sampdoria,0-0
2014-2015,21.09.2014,Torino-Verona,0-1
2014-2015,21.09.2014,Udinese-Napoli,1-0
2014-2015,24.09.2014,Cagliari-Torino,1-2
2014-2015,23.09.2014,Empoli-Milan,2-2
2014-2015,24.09.2014,Fiorentina-Sassuolo,0-0
2014-2015,24.09.2014,Inter-Atalanta,2-0
2014-2015,24.09.2014,Juventus-Cesena,3-0
2014-2015,25.09.2014,Lazio-Udinese,0-1
2014-2015,24.09.2014,Napoli-Palermo,3-3
2014-2015,24.09.2014,Parma-Roma,1-2
2014-2015,24.09.2014,Sampdoria-Chievo,2-1
2014-2015,24.09.2014,Verona-Genoa,2-2
2014-2015,27.09.2014,Atalanta-Juventus,0-3
2014-2015,28.09.2014,Cesena-Milan,1-1
2014-2015,28.09.2014,Chievo-Empoli,1-1
2014-2015,28.09.2014,Genoa-Sampdoria,0-1
2014-2015,28.09.2014,Inter-Cagliari,1-4
2014-2015,29.09.2014,Palermo-Lazio,0-4
2014-2015,27.09.2014,Roma-Verona,2-0
2014-2015,28.09.2014,Sassuolo-Napoli,0-1
2014-2015,28.09.2014,Torino-Fiorentina,1-1
2014-2015,29.09.2014,Udinese-Parma,4-2
2014-2015,05.10.2014,Empoli-Palermo,3-0
2014-2015,05.10.2014,Fiorentina-Inter,3-0
2014-2015,05.10.2014,Juventus-Roma,3-2
2014-2015,05.10.2014,Lazio-Sassuolo,3-2
2014-2015,04.10.2014,Milan-Chievo,2-0
2014-2015,05.10.2014,Napoli-Torino,2-1
2014-2015,05.10.2014,Parma-Genoa,1-2
2014-2015,05.10.2014,Sampdoria-Atalanta,1-0
2014-2015,05.10.2014,Udinese-Cesena,1-1
2014-2015,04.10.2014,Verona-Cagliari,1-0
2014-2015,19.10.2014,Atalanta-Parma,1-0
2014-2015,19.10.2014,Cagliari-Sampdoria,2-2
2014-2015,19.10.2014,Fiorentina-Lazio,0-2
2014-2015,20.10.2014,Genoa-Empoli,1-1
2014-2015,19.10.2014,Inter-Napoli,2-2
2014-2015,19.10.2014,Palermo-Cesena,2-1
2014-2015,18.10.2014,Roma-Chievo,3-0
2014-2015,18.10.2014,Sassuolo-Juventus,1-1
2014-2015,19.10.2014,Torino-Udinese,1-0
2014-2015,19.10.2014,Verona-Milan,1-3
2014-2015,26.10.2014,Cesena-Inter,0-1
2014-2015,26.10.2014,Chievo-Genoa,1-2
2014-2015,25.10.2014,Empoli-Cagliari,0-4
2014-2015,26.10.2014,Juventus-Palermo,2-0
2014-2015,26.10.2014,Lazio-Torino,2-1
2014-2015,26.10.2014,Milan-Fiorentina,1-1
2014-2015,26.10.2014,Napoli-Verona,6-2
2014-2015,25.10.2014,Parma-Sassuolo,1-3
2014-2015,25.10.2014,Sampdoria-Roma,0-0
2014-2015,26.10.2014,Udinese-Atalanta,2-0
2014-2015,29.10.2014,Atalanta-Napoli,1-1
2014-2015,29.10.2014,Cagliari-Milan,1-1
2014-2015,29.10.2014,Fiorentina-Udinese,3-0
2014-2015,29.10.2014,Genoa-Juventus,1-0
2014-2015,29.10.2014,Inter-Sampdoria,1-0
2014-2015,29.10.2014,Palermo-Chievo,1-0
2014-2015,29.10.2014,Roma-Cesena,2-0
2014-2015,28.10.2014,Sassuolo-Empoli,3-1
2014-2015,29.10.2014,Torino-Parma,1-0
2014-2015,30.10.2014,Verona-Lazio,1-1
2014-2015,03.11.2014,Cesena-Verona,1-1
2014-2015,02.11.2014,Chievo-Sassuolo,0-0
2014-2015,01.11.2014,Empoli-Juventus,0-2
2014-2015,03.11.2014,Lazio-Cagliari,4-2
2014-2015,02.11.2014,Milan-Palermo,0-2
2014-2015,01.11.2014,Napoli-Roma,2-0
2014-2015,01.11.2014,Parma-Inter,2-0
2014-2015,02.11.2014,Sampdoria-Fiorentina,3-1
2014-2015,02.11.2014,Torino-Atalanta,0-0
2014-2015,02.11.2014,Udinese-Genoa,2-4
2014-2015,09.11.2014,Cagliari-Genoa,1-1
2014-2015,09.11.2014,Chievo-Cesena,2-1
2014-2015,09.11.2014,Empoli-Lazio,2-1
2014-2015,09.11.2014,Fiorentina-Napoli,0-1
2014-2015,09.11.2014,Inter-Verona,2-2
2014-2015,09.11.2014,Juventus-Parma,7-0
2014-2015,09.11.2014,Palermo-Udinese,1-1
2014-2015,09.11.2014,Roma-Torino,3-0
2014-2015,08.11.2014,Sampdoria-Milan,2-2
2014-2015,08.11.2014,Sassuolo-Atalanta,0-0
2014-2015,22.11.2014,Atalanta-Roma,1-2
2014-2015,23.11.2014,Cesena-Sampdoria,1-1
2014-2015,24.11.2014,Genoa-Palermo,1-1
2014-2015,22.11.2014,Lazio-Juventus,0-3
2014-2015,23.11.2014,Milan-Inter,1-1
2014-2015,23.11.2014,Napoli-Cagliari,3-3
2014-2015,23.11.2014,Parma-Empoli,0-2
2014-2015,23.11.2014,Torino-Sassuolo,0-1
2014-2015,23.11.2014,Udinese-Chievo,1-1
2014-2015,23.11.2014,Verona-Fiorentina,1-2
2014-2015,30.11.2014,Cagliari-Fiorentina,0-4
2014-2015,30.11.2014,Cesena-Genoa,0-3
2014-2015,29.11.2014,Chievo-Lazio,0-0
2014-2015,30.11.2014,Empoli-Atalanta,0-0
2014-2015,30.11.2014,Juventus-Torino,2-1
2014-2015,30.11.2014,Milan-Udinese,2-0
2014-2015,30.11.2014,Palermo-Parma,2-1
2014-2015,30.11.2014,Roma-Inter,4-2
2014-2015,01.12.2014,Sampdoria-Napoli,1-1
2014-2015,29.11.2014,Sassuolo-Verona,2-1
2014-2015,07.12.2014,Atalanta-Cesena,3-2
2014-2015,08.12.2014,Cagliari-Chievo,0-2
2014-2015,05.12.2014,Fiorentina-Juventus,0-0
2014-2015,07.12.2014,Genoa-Milan,1-0
2014-2015,07.12.2014,Inter-Udinese,1-2
2014-2015,07.12.2014,Napoli-Empoli,2-2
2014-2015,07.12.2014,Parma-Lazio,1-2
2014-2015,06.12.2014,Roma-Sassuolo,2-2
2014-2015,06.12.2014,Torino-Palermo,2-2
2014-2015,08.12.2014,Verona-Sampdoria,1-3
2014-2015,14.12.2014,Cesena-Fiorentina,1-4
2014-2015,15.12.2014,Chievo-Inter,0-2
2014-2015,15.12.2014,Empoli-Torino,0-0
2014-2015,14.12.2014,Genoa-Roma,0-1
2014-2015,14.12.2014,Juventus-Sampdoria,1-1
2014-2015,13.12.2014,Lazio-Atalanta,3-0
2014-2015,14.12.2014,Milan-Napoli,2-0
2014-2015,13.12.2014,Palermo-Sassuolo,2-1
2014-2015,14.12.2014,Parma-Cagliari,0-0
2014-2015,14.12.2014,Udinese-Verona,1-2
2014-2015,21.12.2014,Atalanta-Palermo,3-3
2014-2015,18.12.2014,Cagliari-Juventus,1-3
2014-2015,21.12.2014,Fiorentina-Empoli,1-1
2014-2015,21.12.2014,Inter-Lazio,2-2
2014-2015,18.12.2014,Napoli-Parma,2-0
2014-2015,20.12.2014,Roma-Milan,0-0
2014-2015,21.12.2014,Sampdoria-Udinese,2-2
2014-2015,20.12.2014,Sassuolo-Cesena,1-1
2014-2015,21.12.2014,Torino-Genoa,2-1
2014-2015,21.12.2014,Verona-Chievo,0-1
2014-2015,06.01.2015,Cesena-Napoli,1-4
2014-2015,06.01.2015,Chievo-Torino,0-0
2014-2015,06.01.2015,Empoli-Verona,0-0
2014-2015,06.01.2015,Genoa-Atalanta,2-2
2014-2015,06.01.2015,Juventus-Inter,1-1
2014-2015,05.01.2015,Lazio-Sampdoria,3-0
2014-2015,06.01.2015,Milan-Sassuolo,1-2
2014-2015,06.01.2015,Palermo-Cagliari,5-0
2014-2015,06.01.2015,Parma-Fiorentina,1-0
2014-2015,06.01.2015,Udinese-Roma,0-1
2014-2015,11.01.2015,Atalanta-Chievo,1-1
2014-2015,11.01.2015,Cagliari-Cesena,2-1
2014-2015,11.01.2015,Fiorentina-Palermo,4-3
2014-2015,11.01.2015,Inter-Genoa,3-1
2014-2015,11.01.2015,Napoli-Juventus,1-3
2014-2015,11.01.2015,Roma-Lazio,2-2
2014-2015,11.01.2015,Sampdoria-Empoli,1-0
2014-2015,10.01.2015,Sassuolo-Udinese,1-1
2014-2015,10.01.2015,Torino-Milan,1-1
2014-2015,11.01.2015,Verona-Parma,3-1
2014-2015,18.01.2015,Cesena-Torino,2-3
2014-2015,18.01.2015,Chievo-Fiorentina,1-2
2014-2015,17.01.2015,Empoli-Inter,0-0
2014-2015,18.01.2015,Genoa-Sassuolo,3-3
2014-2015,18.01.2015,Juventus-Verona,4-0
2014-2015,18.01.2015,Lazio-Napoli,0-1
2014-2015,18.01.2015,Milan-Atalanta,0-1
2014-2015,17.01.2015,Palermo-Roma,1-1
2014-2015,18.01.2015,Parma-Sampdoria,0-2
2014-2015,18.01.2015,Udinese-Cagliari,2-2
2014-2015,24.01.2015,Cagliari-Sassuolo,2-1
2014-2015,26.01.2015,Empoli-Udinese,1-2
2014-2015,25.01.2015,Fiorentina-Roma,1-1
2014-2015,25.01.2015,Inter-Torino,0-1
2014-2015,25.01.2015,Juventus-Chievo,2-0
2014-2015,24.01.2015,Lazio-Milan,3-1
2014-2015,26.01.2015,Napoli-Genoa,2-1
2014-2015,25.01.2015,Parma-Cesena,1-2
2014-2015,25.01.2015,Sampdoria-Palermo,1-1
2014-2015,25.01.2015,Verona-Atalanta,1-0
2014-2015,01.02.2015,Atalanta-Cagliari,2-1
2014-2015,01.02.2015,Cesena-Lazio,2-1
2014-2015,01.02.2015,Chievo-Napoli,1-2
2014-2015,31.01.2015,Genoa-Fiorentina,1-1
2014-2015,01.02.2015,Milan-Parma,3-1
2014-2015,01.02.2015,Palermo-Verona,2-1
2014-2015,31.01.2015,Roma-Empoli,1-1
2014-2015,01.02.2015,Sassuolo-Inter,3-1
2014-2015,01.02.2015,Torino-Sampdoria,5-1
2014-2015,01.02.2015,Udinese-Juventus,0-0
2014-2015,08.02.2015,Cagliari-Roma,1-2
2014-2015,08.02.2015,Empoli-Cesena,2-0
2014-2015,08.02.2015,Fiorentina-Atalanta,3-2
2014-2015,08.02.2015,Inter-Palermo,3-0
2014-2015,07.02.2015,Juventus-Milan,3-1
2014-2015,09.02.2015,Lazio-Genoa,0-1
2014-2015,08.02.2015,Napoli-Udinese,3-1
2014-2015,11.02.2015,Parma-Chievo,0-1
2014-2015,08.02.2015,Sampdoria-Sassuolo,1-1
2014-2015,07.02.2015,Verona-Torino,1-3
2014-2015,15.02.2015,Atalanta-Inter,1-4
2014-2015,15.02.2015,Cesena-Juventus,2-2
2014-2015,15.02.2015,Chievo-Sampdoria,2-1
2014-2015,15.02.2015,Genoa-Verona,5-2
2014-2015,15.02.2015,Milan-Empoli,1-1
2014-2015,14.02.2015,Palermo-Napoli,3-1
2014-2015,15.02.2015,Roma-Parma,0-0
2014-2015,14.02.2015,Sassuolo-Fiorentina,1-3
2014-2015,15.02.2015,Torino-Cagliari,1-1
2014-2015,15.02.2015,Udinese-Lazio,0-1
2014-2015,23.02.2015,Cagliari-Inter,1-2
2014-2015,22.02.2015,Empoli-Chievo,3-0
2014-2015,22.02.2015,Fiorentina-Torino,1-1
2014-2015,20.02.2015,Juventus-Atalanta,2-1
2014-2015,22.02.2015,Lazio-Palermo,2-1
2014-2015,22.02.2015,Milan-Cesena,2-0
2014-2015,23.02.2015,Napoli-Sassuolo,2-0
2014-2015,08.04.2015,Parma-Udinese,1-0
2014-2015,24.02.2015,Sampdoria-Genoa,1-1
2014-2015,22.02.2015,Verona-Roma,1-1
2014-2015,01.03.2015,Atalanta-Sampdoria,1-2
2014-2015,01.03.2015,Cagliari-Verona,1-2
2014-2015,01.03.2015,Cesena-Udinese,1-0
2014-2015,28.02.2015,Chievo-Milan,0-0
2014-2015,15.04.2015,Genoa-Parma,2-0
2014-2015,01.03.2015,Inter-Fiorentina,0-1
2014-2015,01.03.2015,Palermo-Empoli,0-0
2014-2015,02.03.2015,Roma-Juventus,1-1
2014-2015,01.03.2015,Sassuolo-Lazio,0-3
2014-2015,01.03.2015,Torino-Napoli,1-0
